Qty,Parts,Description,Manufacturer,MPN,
1, BAG,3x5 Open Top Anti-Static Bag,,50-18,
,,,Desco,13605,
1, BOX,BeagleBone Black Wireless Box,,,
1, CABLE,USB 2.0 A to Micro B Cable 3ft,,13564,
,,,Molex,68784-0002,
1, PCB,BeagleBone Black Wireless A5b,,BeagleBone Black Wireless A5b,
1, QSG,BeagleBone Black Wireless Quick Start,,,
2,"ANT1-1, ANT2-1","2.4GHz Whip, Straight RF Antenna 3dBi Connector, U.FL Connector Mount",Anaren Microwave,66089-2430,
2,"ANT1, ANT2",CONN UMC JACK STR 50 OHM SMD,Hirose,U.FL-R-SMT-1(10),
7,"BT, PWR, USR0. USR1, USR2, USR3, WL",LED BLUE CLEAR THIN 0603 SMD,Lite-On,LTST-C191TBKT,
4,"C1, C19, C20, C61",CAP. 10uF 6.3V (0603),Samsung,CL10A106MQ8NNNC,
3,"C16, C55, C56",CAP. 2.2uF 6.3V (0603),Samsung,CL10A225KQ8NNNC,
23,"C2, C13, C15, C17, C18, C21, C22, C24, C25, C43. C44, C45, C47, C48, C49, C50, C51, C52, C53, C58, C59, C63, C69",CAP CER 0.1UF 6.3V 10% X5R 0402,Murata,GRM155R60J104KA01D,
16,"C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C39, C40, C41, C42",CAP CER 47PF 50V 5% NPO 0402,Yageo,CC0402JRNPO9BN470,
4,"C3, C4, C5, C6",CAP CER 18PF 50V C0G 5% 0402,NIC Components,NMC0402NPO180J50TRPF,
2,"C46, C60",CAP. 10pF 50V (0402),Samsung,CL05C100JB5NNNC,
1,C62,CAP. 220uF TANT. 10V (7343),AVX,TAJD227M010RNJ,
,,,AVX,TAJD227K010RNJ,
1,C7,CAP. 4.7uF (0805),Samsung,CL21A475KOFNNNE,
3,"C8, C10, C64",CAP CER 1UF 6.3V 10% X5R 0402,Murata,GRM155R60J105KE19D,
5,"C9, C12, C14, C54, C57",CAP. 2.2uF 16V (0805),Samsung,CL21B225KOFNNNE,
1,D1,DIODE SCHOTTKY 40V 120MA SOD-323,NXP Semiconductors,"RB751V40,115",
2,D3. D4,B130L-13 (SMA),Diodes Inc.,B130L-13-F,
1,D8,BAT54C (SOT-23),ON Semiconductor,BAT54CLT1G,
1,F1,1206L050YR (1206),Littelfuse,1206L050YR,
1,FB1,FB 220 OHM 0805,Murata,BLM21AG221SN1D,
1,FB2,FB 2.5K (0603),Murata,BLM18BD252SN1D,
1,FB3,Ferrite Bead 150 Ohm 800mA,Laird,LI0805H151R-10,
2,"FB4, R17",RES .10 OHM 1/8W 5% 0805,CTS Components,73L3R10J,
3,"FB5, FB6, FB7",FERRITE BEAD 1 KOHM 0402 1LN,Murata,BLM15AG102SN1D,
1,IC1,OSD3358-512M-BAS-XB for Beagleboard.org,Octavo Systems,OSD3358-512M-BAS,
2,"IC10, IC11",IC XLATR VOLT-LVL 8B BDIR 20QFN,Texas Instruments,TXS0108ERGYR,
